Adaptation
Adaptive capacity
Altimeter
Anomaly
Antarctica
Atmospheric river
Baseline
Biodiversity
Climate sensitivity
El Niño and La Niña
El Nino Southern Oscillation (ENSO)
Floodplain
Forcings and feedbacks
Fossil fuels
Greenhouse effect
Ice island
Ice shelf
Infrared light and false-color images
Infrared radiation
In-situ data
Margin of error
Mitigation
Observational records
Ocean basin
Ocean bottom pressure
Parts per million
Parts per million by volume
Photosynthesis
Phytoplankton.
